STA_rank,STA_DIST
536,376.326996
537,376.432686
538,376.5064724
539,376.626564
540,376.9032492
541,377.071407
542,377.0903603
543,377.132458
544,377.1422039
545,377.1955498
546,377.2893459
547,377.4063594
548,377.4220366
549,377.8815613
550,378.3372577
551,378.514943
552,378.8981459
553,379.2767546
554,379.7710382
555,380.1210105
556,380.1779348
557,380.3279515
558,380.3305877
559,380.591258
560,380.6670299
561,380.7688377
562,380.8217809
563,380.910871
564,381.2371662
565,381.2423898
566,381.9334293
567,381.99316
568,382.3448075
569,383.1113063
570,383.2267429
571,383.39756
572,383.447978
573,383.4572704
574,383.4831846
575,383.6961635
576,383.8257063
577,384.000628
578,384.1438406
579,384.9583734
580,384.9958589
581,385.1752676
582,385.5027521
583,385.5195803
584,385.5824719
585,385.7832441
586,386.0560795
587,386.5075182
588,387.2747674
589,387.41597
590,387.9718733
591,387.9781634
592,388.019519
593,388.250472
594,388.3032151
595,388.3083869
596,388.4435817
597,389.8262879
598,389.8836977
599,390.0831527
600,390.3082346
601,390.3706264
602,390.5867554
603,390.8139973
604,390.979796
605,391.033636
606,391.159732
607,391.7874148
608,391.8358335
609,392.0585401
610,392.19001
611,392.7767753
612,393.0434705
613,393.0939034
614,393.3889449
615,393.6053048
616,393.6109019
617,394.0045707
618,394.195696
619,394.7501054
620,394.7735754
621,394.9387905
622,394.951656
623,395.1698233
624,395.3823988
625,395.4698589
626,395.5316228
627,395.6365956
628,395.6527168
629,395.7630061
630,396.2530222
631,396.3636489
632,396.6398116
633,397.2471739
634,397.2680222
635,397.3044858
636,397.4104763
637,397.4136483
638,397.5891937
639,397.7708981
640,398.0644481
641,398.1689362
642,398.254487
643,398.3485546
644,398.4056336
645,398.8291267
646,399.0268721
647,399.039223
648,399.0583489
649,399.1281181
650,399.1718463
651,399.2922278
652,400.0931236
653,400.1118989
654,400.2732807
655,400.3567138
656,400.4069407
657,400.5401813
658,400.9197931
659,400.9645035
660,401.0246357
661,401.1715153
662,401.4821421
663,401.8487089
664,401.8758319
665,402.2726657
666,402.3088514
667,402.7722254
668,402.8457886
669,402.8605617
670,403.0548764
671,403.3149824
672,403.3310665
673,403.4868959
674,403.5237234
675,403.5663078
676,403.8947661
677,404.3817861
678,404.4924564
679,404.595048
680,404.6127033
681,404.678984
682,405.0091868
683,405.6975089
684,405.8080997
685,406.162397
686,406.4073525
687,406.8564002
688,406.8830627
689,407.3876656
690,408.0210775
691,410.6022098
692,410.6095514
693,410.7620297
694,411.7381935
695,411.9787302
696,413.4072195
697,413.4473485
698,413.8539245
699,414.4765862
700,415.3617343
701,415.7523122
702,416.2987054
703,417.1307873
704,417.4306514
705,417.5405893
706,417.7006885
707,418.0050715
708,418.0147142
709,418.0840008
710,418.9554701
711,418.99509
712,419.3495029
713,419.377729
714,419.5487992
715,419.7905667
716,419.8989071
717,419.9132364
718,420.2480448
719,420.2681226
720,420.380154
721,420.4977067
722,420.87969
723,421.0561228
724,421.0728639
725,421.1715373
726,421.2428139
727,421.2683492
728,421.2839579
729,423.2963984
730,424.454398
731,424.9998185
732,426.791735
