STA_Lon_X,STA_Lat_Y,PGA
119.99724,25.35342,0.0303175915033
120.034608036,25.35342,0.0379647314548
120.071976071,25.35342,0.0464820601046
120.109344107,25.35342,0.0560293905437
120.146712143,25.35342,0.0683897733688
120.184080179,25.35342,0.0827978253365
120.221448214,25.35342,0.0801213234663
120.25881625,25.35342,0.0669782906771
120.296184286,25.35342,0.0557793304324
120.333552321,25.35342,0.0523195229471
120.370920357,25.35342,0.0493503287435
120.408288393,25.35342,0.0483416616917
120.445656429,25.35342,0.0537190884352
120.483024464,25.35342,0.058293197304
120.5203925,25.35342,0.0634371191263
120.557760536,25.35342,0.0694916322827
120.595128571,25.35342,0.0767142102122
120.632496607,25.35342,0.0684989318252
120.669864643,25.35342,0.0609241016209
120.707232679,25.35342,0.0566704422235
120.744600714,25.35342,0.0587784722447
120.78196875,25.35342,0.060975804925
120.819336786,25.35342,0.0602557584643
120.856704821,25.35342,0.0576326213777
120.894072857,25.35342,0.0552177801728
120.931440893,25.35342,0.0560836270452
120.968808929,25.35342,0.0578290522099
121.006176964,25.35342,0.0593124218285
121.043545,25.35342,0.0592062436044
121.080913036,25.35342,0.0611076913774
121.118281071,25.35342,0.0668263435364
121.155649107,25.35342,0.0761834904552
121.193017143,25.35342,0.0884587615728
121.230385179,25.35342,0.069140098989
121.267753214,25.35342,0.0493231713772
121.30512125,25.35342,0.0359500572085
121.342489286,25.35342,0.0380556620657
121.379857321,25.35342,0.0361800901592
121.417225357,25.35342,0.0360218994319
121.454593393,25.35342,0.0366504192352
121.491961429,25.35342,0.0374350510538
121.529329464,25.35342,0.0321614220738
121.5666975,25.35342,0.0286105796695
121.604065536,25.35342,0.0267687533051
121.641433571,25.35342,0.0267016794533
121.678801607,25.35342,0.0265294965357
121.716169643,25.35342,0.0273902304471
121.753537679,25.35342,0.0284511651844
121.790905714,25.35342,0.0290726590902
121.82827375,25.35342,0.0281272977591
121.865641786,25.35342,0.0273212976754
121.903009821,25.35342,0.0275274757296
121.940377857,25.35342,0.0294847823679
121.977745893,25.35342,0.0320972874761
122.015113929,25.35342,0.0290366746485
122.052481964,25.35342,0.0230679139495
122.08985,25.35342,0.0169005505741
119.99724,25.3161753535,0.0368745774031
120.034608036,25.3161753535,0.0406810492277
120.071976071,25.3161753535,0.0469091534615
120.109344107,25.3161753535,0.0542850494385
120.146712143,25.3161753535,0.0625455901027
120.184080179,25.3161753535,0.0694059804082
120.221448214,25.3161753535,0.0688560754061
120.25881625,25.3161753535,0.0623357594013
120.296184286,25.3161753535,0.0561330243945
120.333552321,25.3161753535,0.0534567795694
120.370920357,25.3161753535,0.0528885573149
120.408288393,25.3161753535,0.0536798425019
120.445656429,25.3161753535,0.0560030005872
120.483024464,25.3161753535,0.0587653852999
120.5203925,25.3161753535,0.061952367425
120.557760536,25.3161753535,0.0651210173965
120.595128571,25.3161753535,0.0665268748999
120.632496607,25.3161753535,0.0636188089848
120.669864643,25.3161753535,0.0591416843235
120.707232679,25.3161753535,0.056889731437
120.744600714,25.3161753535,0.0581519939005
120.78196875,25.3161753535,0.0597159937024
120.819336786,25.3161753535,0.0590411163867
120.856704821,25.3161753535,0.0564375296235
120.894072857,25.3161753535,0.0541007965803
120.931440893,25.3161753535,0.0535629801452
120.968808929,25.3161753535,0.0539639778435
121.006176964,25.3161753535,0.0541432201862
121.043545,25.3161753535,0.0539052113891
121.080913036,25.3161753535,0.0549116246402
121.118281071,25.3161753535,0.059462711215
121.155649107,25.3161753535,0.066473826766
121.193017143,25.3161753535,0.070632815361
